species,x,y
Acraea_issoria,73.086345381238004,34.430603637574002
Acraea_issoria,73.363255155792004,34.243667232302997
Acraea_issoria,73.367577843286,34.142207015015003
Acraea_issoria,73.826372625683007,33.842662617643001
Acraea_issoria,74.198386482312998,33.948524837792
Acraea_violae,72.349507110258997,31.709474338755001
Acraea_violae,73.152281732869,34.634256252134001
Acraea_violae,73.310373122097005,34.165573817815002
Actinor_radians,71.990092887182996,35.157352108985002
Actinor_radians,72.070994561380999,35.994922383037
Actinor_radians,73.393974880623006,34.450652190253997
Acytolepis_puspa,73.002819323718001,33.856218537453998
Acytolepis_puspa,73.099187494454,34.045385687417998
Acytolepis_puspa,73.138448601050001,33.859073890661001
Acytolepis_puspa,73.347603223462997,34.066086998168998
Aeromachus_stigmatus,73.164660306198996,33.823384320213002
Aeromachus_stigmatus,73.168229497707998,34.133903981472997
Aeromachus_stigmatus,73.342168097233994,34.588143087486003
Aeromachus_stigmatus,73.416883172816995,34.004223356655999
Aeromachus_stigmatus,73.519199996067996,34.425387954687999
Aeromachus_stigmatus,73.522055349275007,34.284047970941003
Aeromachus_stigmatus,73.623420388122994,34.562444908623
Aeromachus_stigmatus,73.647690890381995,33.844799469264998
Aeromachus_stigmatus,73.833288848837,33.961393058551003
Aglais_caschmirensis,71.139640213863004,33.820688279556997
Aglais_caschmirensis,71.628383487345005,35.925803380067997
Aglais_caschmirensis,71.699172452268996,35.815158443297001
Aglais_caschmirensis,71.703336509029,35.879403890454
Aglais_caschmirensis,71.708095431039993,35.983505309458998
Aglais_caschmirensis,71.773203432813006,36.150796289799999
Aglais_caschmirensis,71.787361225797,35.363150081976002
Aglais_caschmirensis,71.834593526763001,36.200764970922997
Aglais_caschmirensis,71.910974225049998,36.119387404523003
Aglais_caschmirensis,72.453425899202003,34.912642763973999
Aglais_caschmirensis,72.495741638864004,36.107385998075003
Aglais_caschmirensis,72.496455477165995,36.049565095633
Aglais_caschmirensis,72.582828920235002,35.541066347151002
Aglais_caschmirensis,72.650643558902004,35.327509721877
Aglais_caschmirensis,73.285419311520997,34.148610723749002
Aglais_caschmirensis,73.290852414151999,36.628658486390997
Aglais_caschmirensis,73.384107456737993,34.287035867763002
Aglais_caschmirensis,73.385059241139999,34.216603821989999
Aglais_caschmirensis,73.394577085164002,34.055752257995998
Aglais_caschmirensis,73.400287791577995,34.156641404642997
Aglais_caschmirensis,73.601788481087993,34.649295917153999
Aglais_caschmirensis,73.609640702407006,34.812051049951997
Aglais_caschmirensis,73.625345145045998,34.737098028269003
Aglais_caschmirensis,73.668215100834004,34.139390312350997
Aglais_caschmirensis,73.669404831337005,34.084662709217
Aglais_caschmirensis,73.677455341073994,34.857736701264002
Aglais_caschmirensis,73.679596855979,34.921268310119999
Aglais_caschmirensis,73.682491866869,34.189358993474002
Aglais_caschmirensis,73.727701625980004,34.146528695369
Aglais_caschmirensis,73.734007197644999,33.981394101564
Aglais_caschmirensis,73.788972746880006,34.040642680608997
Aglais_caschmirensis,73.790979425662002,33.544667828553997
Aglais_caschmirensis,73.798712673931007,33.599990296938998
Aglais_caschmirensis,73.806818704424003,34.091325200032998
Aglais_caschmirensis,73.816812440647993,33.927856228933003
Aglais_caschmirensis,73.826806176873006,33.984963293073001
Aglais_caschmirensis,73.847491624550003,33.550616481067998
Aglais_caschmirensis,73.941020305153003,33.885025930828
Aglais_caschmirensis,73.964418338377001,35.060466778961001
Aglais_caschmirensis,74.080406156547994,36.206956526748002
Aglais_caschmirensis,74.086116862962001,35.959968474343
Aglais_caschmirensis,74.267431791606001,36.245503795043
Aglais_caschmirensis,74.404488745541997,36.168409258453998
Aglais_caschmirensis,74.515847520614997,36.182686024489001
Aglais_caschmirensis,74.603592128089005,35.202621728102002
Aglais_caschmirensis,74.631099485985999,37.036360882737
Aglais_caschmirensis,74.695201376813003,35.215113898383002
Aglais_caschmirensis,74.745764923186996,35.375727516276001
Aglais_caschmirensis,74.813732243934993,36.954131077188997
Aglais_caschmirensis,75.177736239954001,35.209809683224002
Aglais_caschmirensis,75.310986056280996,35.157461541095998
Aglais_caschmirensis,75.314388685519006,35.632322642493001
Aglais_caschmirensis,75.580158616796993,35.260079762739998
Aglais_ladakensis,74.441983102340998,36.197112498278003
Aglais_ladakensis,77.498242133597003,35.164029844913003
Aglais_ladakensis,77.777828801781993,35.287761817216001
Aglais_rizana,70.503452647713999,33.825791231971003
Aglais_rizana,71.428480011036001,36.027018711159002
Aglais_rizana,71.743746697003004,34.936880548643003
Aglais_rizana,71.759700983046997,35.875684991188002
Aglais_rizana,71.775405425686003,36.025591034556001
Aglais_rizana,71.835367843032998,35.588721993885002
Aglais_rizana,71.935305205277004,36.152654252266998
Aglais_rizana,72.099488014680006,35.887106404016002
Aglais_rizana,72.122330840336005,36.152654252266998
Aglais_rizana,72.505959441000996,36.017104290302001
Aglais_rizana,73.081749346728003,35.371239257951999
Aglais_rizana,73.850838733033001,35.981249778711998
Aglais_rizana,74.050713457523003,36.334599738077998
Aglais_rizana,74.151840550269995,35.941988672115997
Aglais_rizana,74.293606854114003,35.036534358451
Aglais_rizana,74.364990684288003,35.182871210309997
Aglais_rizana,74.509542940393004,35.068657082030001
Aglais_rizana,74.557727025760997,35.350623211220999
Aglais_rizana,74.700494686111,35.109702784381
Aglais_rizana,75.114699360700001,35.122194954660998
Aglais_rizana,75.651505763616001,35.247116657466997
Anaphaeis_aurota,72.609977229031003,33.569846505031997
Anaphaeis_aurota,66.666440555617001,28.011822172247001
Anaphaeis_aurota,66.768162513616005,30.876296646431999
